ID,UnderlyingValue,PrevId,MaxPain,PCR,maxpain_start,underlying_start,PCR_start,lowerrangevalue,upperrangevalue,rangespike,max,min,result1,result2
38200,19559.4,38199,19500,1.19,19500,19559.4,1.19,19300,19600,0,19491.2,19389.2,0,1
38201,19480.9,38200,19500,1.17,19500,19559.4,1.19,19200,19500,-1,19491.2,19389.2,0,1
38202,19477.8,38201,19500,1.15,19500,19559.4,1.19,19200,19500,0,19491.2,19374.6,0,1
38203,19491.2,38202,19500,1.15,19500,19559.4,1.19,19200,19500,0,19462.4,19340.3,0,1
38204,19462.4,38203,19500,1.14,19500,19559.4,1.19,19200,19500,0,19408.8,19340.3,0,1
38205,19389.2,38204,19500,1.12,19500,19559.4,1.19,19100,19400,-1,19408.8,19340.3,0,1
38206,19408.8,38205,19500,1.12,19500,19559.4,1.19,19100,19400,0,19434.2,19340.3,0,1
38207,19408.4,38206,19500,1.12,19500,19559.4,1.19,19100,19400,0,19501.1,19340.3,1,1
38208,19374.6,38207,19500,1.11,19500,19559.4,1.19,19100,19400,0,19501.1,19340.3,1,0
38209,19340.3,38208,19500,1.09,19500,19559.4,1.19,19000,19300,-1,19501.1,19348.9,1,0
38210,19358,38209,19500,1.1,19500,19559.4,1.19,19100,19400,1,19501.1,19348.9,1,0
38211,19348.9,38210,19500,1.08,19500,19559.4,1.19,19100,19400,0,19501.1,19389.7,1,0
38212,19434.2,38211,19500,1.08,19500,19559.4,1.19,19200,19500,1,19501.1,19389.7,1,0
38213,19501.1,38212,19500,1.08,19500,19559.4,1.19,19200,19500,0,19445.8,19389.7,0,1
38214,19437.6,38213,19500,1.07,19500,19559.4,1.19,19200,19500,0,19445.8,19379.8,0,1
38215,19410.2,38214,19500,1.04,19500,19559.4,1.19,19100,19400,-1,19445.8,19379.8,0,0
38216,19445.8,38215,19500,1.04,19500,19559.4,1.19,19200,19500,1,19414.6,19379.8,0,1
38217,19389.7,38216,19500,1.04,19500,19559.4,1.19,19100,19400,-1,19434.4,19379.8,0,0
38218,19399.5,38217,19500,1.02,19500,19559.4,1.19,19100,19400,0,19589.4,19379.8,1,0
38219,19396.4,38218,19500,1.02,19500,19559.4,1.19,19100,19400,0,19589.4,19379.8,1,0
38220,19379.8,38219,19500,1.02,19500,19559.4,1.19,19100,19400,0,19589.4,19388.1,1,0
38221,19388.1,38220,19500,1.01,19500,19559.4,1.19,19100,19400,0,19589.4,19414.6,1,0
38222,19414.6,38221,19500,1.02,19500,19559.4,1.19,19100,19400,0,19589.4,19434.4,1,0
38223,19434.4,38222,19500,1.01,19500,19559.4,1.19,19200,19500,1,19589.4,19459.7,1,0
38224,19589.4,38223,19500,1.01,19500,19559.4,1.19,19300,19600,1,19519.7,19459.7,0,1
38225,19519.7,38224,19500,1.01,19500,19559.4,1.19,19300,19600,0,19498.9,19459.7,0,1
38226,19459.7,38225,19500,1.01,19500,19559.4,1.19,19200,19500,-1,19507.2,19459.7,0,0
38227,19494.5,38226,19500,1.01,19500,19559.4,1.19,19200,19500,0,19510.2,19459.7,0,0
