ID,AsOnDate,UnderlyingValue,Symbol,ExpiryDate,PrevId,MaxPain,PCR,adate,maxpain_start,underlying_start,PCR_start,lowerrangevalue,upperrangevalue,rangespike,max,min,result1,result2
38200,13-04-2020 09:29,19559.4,BANKNIFTY,16-04-2020 00:00,38199,19500,1.19,13-04-2020,19500,19559.4,1.19,19300,19600,0,19491.2,19389.2,no,yes
38201,13-04-2020 09:32,19480.9,BANKNIFTY,16-04-2020 00:00,38200,19500,1.17,13-04-2020,19500,19559.4,1.19,19200,19500,-1,19491.2,19389.2,no,yes
38202,13-04-2020 09:35,19477.8,BANKNIFTY,16-04-2020 00:00,38201,19500,1.15,13-04-2020,19500,19559.4,1.19,19200,19500,0,19491.2,19374.6,no,yes
38203,13-04-2020 09:38,19491.2,BANKNIFTY,16-04-2020 00:00,38202,19500,1.15,13-04-2020,19500,19559.4,1.19,19200,19500,0,19462.4,19340.3,no,yes
38204,13-04-2020 09:41,19462.4,BANKNIFTY,16-04-2020 00:00,38203,19500,1.14,13-04-2020,19500,19559.4,1.19,19200,19500,0,19408.8,19340.3,no,yes
38205,13-04-2020 09:44,19389.2,BANKNIFTY,16-04-2020 00:00,38204,19500,1.12,13-04-2020,19500,19559.4,1.19,19100,19400,-1,19408.8,19340.3,no,yes
38206,13-04-2020 09:47,19408.8,BANKNIFTY,16-04-2020 00:00,38205,19500,1.12,13-04-2020,19500,19559.4,1.19,19100,19400,0,19434.2,19340.3,no,yes
38207,13-04-2020 09:51,19408.4,BANKNIFTY,16-04-2020 00:00,38206,19500,1.12,13-04-2020,19500,19559.4,1.19,19100,19400,0,19501.1,19340.3,yes,yes
38208,13-04-2020 09:53,19374.6,BANKNIFTY,16-04-2020 00:00,38207,19500,1.11,13-04-2020,19500,19559.4,1.19,19100,19400,0,19501.1,19340.3,yes,no
38209,13-04-2020 09:56,19340.3,BANKNIFTY,16-04-2020 00:00,38208,19500,1.09,13-04-2020,19500,19559.4,1.19,19000,19300,-1,19501.1,19348.9,yes,no
38210,13-04-2020 09:59,19358,BANKNIFTY,16-04-2020 00:00,38209,19500,1.1,13-04-2020,19500,19559.4,1.19,19100,19400,1,19501.1,19348.9,yes,no
38211,13-04-2020 10:03,19348.9,BANKNIFTY,16-04-2020 00:00,38210,19500,1.08,13-04-2020,19500,19559.4,1.19,19100,19400,0,19501.1,19389.7,yes,no
38212,13-04-2020 10:05,19434.2,BANKNIFTY,16-04-2020 00:00,38211,19500,1.08,13-04-2020,19500,19559.4,1.19,19200,19500,1,19501.1,19389.7,yes,no
38213,13-04-2020 10:08,19501.1,BANKNIFTY,16-04-2020 00:00,38212,19500,1.08,13-04-2020,19500,19559.4,1.19,19200,19500,0,19445.8,19389.7,no,yes
38214,13-04-2020 10:11,19437.6,BANKNIFTY,16-04-2020 00:00,38213,19500,1.07,13-04-2020,19500,19559.4,1.19,19200,19500,0,19445.8,19379.8,no,yes
38215,13-04-2020 10:15,19410.2,BANKNIFTY,16-04-2020 00:00,38214,19500,1.04,13-04-2020,19500,19559.4,1.19,19100,19400,-1,19445.8,19379.8,no,no
38216,13-04-2020 10:18,19445.8,BANKNIFTY,16-04-2020 00:00,38215,19500,1.04,13-04-2020,19500,19559.4,1.19,19200,19500,1,19414.6,19379.8,no,yes
38217,13-04-2020 10:20,19389.7,BANKNIFTY,16-04-2020 00:00,38216,19500,1.04,13-04-2020,19500,19559.4,1.19,19100,19400,-1,19434.4,19379.8,no,no
38218,13-04-2020 10:25,19399.5,BANKNIFTY,16-04-2020 00:00,38217,19500,1.02,13-04-2020,19500,19559.4,1.19,19100,19400,0,19589.4,19379.8,yes,no
38219,13-04-2020 10:27,19396.4,BANKNIFTY,16-04-2020 00:00,38218,19500,1.02,13-04-2020,19500,19559.4,1.19,19100,19400,0,19589.4,19379.8,yes,no
38220,13-04-2020 10:30,19379.8,BANKNIFTY,16-04-2020 00:00,38219,19500,1.02,13-04-2020,19500,19559.4,1.19,19100,19400,0,19589.4,19388.1,yes,no
38221,13-04-2020 10:33,19388.1,BANKNIFTY,16-04-2020 00:00,38220,19500,1.01,13-04-2020,19500,19559.4,1.19,19100,19400,0,19589.4,19414.6,yes,no
38222,13-04-2020 10:36,19414.6,BANKNIFTY,16-04-2020 00:00,38221,19500,1.02,13-04-2020,19500,19559.4,1.19,19100,19400,0,19589.4,19434.4,yes,no
38223,13-04-2020 10:39,19434.4,BANKNIFTY,16-04-2020 00:00,38222,19500,1.01,13-04-2020,19500,19559.4,1.19,19200,19500,1,19589.4,19459.7,yes,no
38224,13-04-2020 10:42,19589.4,BANKNIFTY,16-04-2020 00:00,38223,19500,1.01,13-04-2020,19500,19559.4,1.19,19300,19600,1,19519.7,19459.7,no,yes
